# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m nsamples
-0.700 0.030 100.010000 2048.000000 10000 10000 0 34683038630.000000 1312737991.052453 10000
-0.700 0.040 99.857700 2048.000000 10000 10000 0 34086427680.000000 2579582300.731169 10000
-0.700 0.050 99.331700 2048.000000 10000 10000 0 30742006530.000000 3315613596.854576 10000
-0.700 0.060 98.902900 2048.000000 10000 10000 0 28413528970.000000 2577105232.701543 10000
-0.700 0.070 98.424900 2048.000000 10000 10000 0 26183189224.000000 3109525578.411338 10000
-0.700 0.080 97.887800 2048.000000 10000 10000 0 23840034463.000000 2940807111.082051 10000
-0.700 0.090 97.328500 2048.000000 10000 10000 0 21727940488.000000 3048577631.175671 10000
-0.700 0.100 96.733000 2048.000000 10000 10000 0 19716911431.000000 3048148899.530503 10000
-0.700 0.110 96.105200 2048.000000 10000 10000 0 17847612592.000000 3071140383.002264 10000
-0.700 0.120 95.440100 2048.000000 10000 10000 0 16086603211.000000 3041397974.680466 10000
-0.700 0.130 94.751900 2048.000000 10000 10000 0 14493551876.000000 3016357719.922469 10000
-0.700 0.140 94.023200 2048.000000 10000 10000 0 12993141366.600000 2955833693.480698 10000
-0.700 0.150 93.262800 2048.000000 10000 10000 0 11620733030.600000 2897444907.932232 10000
-0.700 0.160 92.471500 2048.000000 10000 10000 0 10359468936.299999 2789071709.766973 10000
-0.700 0.170 91.662100 2048.000000 10000 10000 0 9239590556.900000 2677953506.086855 10000
-0.700 0.180 90.826300 2048.000000 10000 10000 0 8226052597.200000 2555615731.471856 10000
-0.700 0.190 89.963900 2048.000000 10000 10000 0 7305928104.800000 2419465027.161979 10000
-0.700 0.200 89.077400 2048.000000 10000 10000 0 6481266540.700000 2288094517.719125 10000
-0.700 0.210 88.180000 2047.999600 10000 10000 0 5759819868.500000 2156761944.679721 10000
-0.700 0.220 87.259800 2047.999300 10000 10000 0 5106085228.900000 2017483646.220943 10000
-0.700 0.230 86.327500 2047.997700 10000 10000 0 4529960748.700000 1879165786.689053 10000
-0.650 0.000 116.752700 2048.000000 10000 10000 0 49025926390.000000 4196793885.946004 10000
-0.650 0.010 116.244900 2048.000000 10000 10000 0 44209585340.000000 4043581421.716156 10000
-0.650 0.020 116.001000 2048.000000 10000 10000 0 42246578950.000000 987752448.436043 10000
-0.650 0.030 115.797900 2048.000000 10000 10000 0 41229206900.000000 3053151906.493722 10000
