# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.024 0.466 3269.445300 40.957600 5169 5303 10000 846185574.535606 4368915324.760740 0.000694 0.002668 10000
0.027 0.434 2418.541900 27.126400 3309 3432 10000 508630714.012233 3192145899.939860 0.000434 0.002100 10000
0.027 0.438 2535.239800 28.853000 3522 3649 10000 574281080.853095 3973584681.523008 0.000460 0.002112 10000
0.027 0.442 2660.525700 30.593600 3750 3886 10000 571143734.850206 3442082071.712261 0.000494 0.002302 10000
0.027 0.446 2784.516300 32.271500 3989 4132 10000 689928391.573452 4463342063.561785 0.000480 0.002213 10000
0.027 0.450 2892.899400 33.976600 4223 4376 10000 654500040.403264 3629325228.129813 0.000514 0.002345 10000
0.027 0.454 3015.160500 36.035400 4479 4628 10000 733271976.429073 4176957464.352484 0.000473 0.002169 10000
0.027 0.458 3097.196500 37.584400 4687 4832 10000 734833310.257195 3830157782.216118 0.000511 0.002148 10000
0.027 0.462 3197.835900 39.138900 4899 5035 10000 770456603.204362 4144330946.195471 0.000591 0.002412 10000
0.027 0.466 3286.639500 40.779600 5121 5258 10000 788446714.303290 3943758798.039882 0.000657 0.002380 10000
0.030 0.438 2544.214500 28.773200 3490 3622 10000 513411657.533070 3485940866.330370 0.000409 0.001897 10000
0.030 0.442 2671.013600 30.410900 3709 3847 10000 570145036.304051 3800334138.586360 0.000464 0.002156 10000
0.030 0.446 2786.161800 32.041900 3926 4071 10000 619298802.910182 3944819317.237255 0.000517 0.002246 10000
0.030 0.450 2896.454500 33.856500 4171 4328 10000 719120374.037062 4361603178.231349 0.000521 0.002292 10000
0.030 0.454 3027.223600 35.733400 4421 4579 10000 694095769.923952 3964156774.452666 0.000525 0.002284 10000
0.030 0.458 3109.678200 37.309900 4631 4783 10000 722785391.626823 3764689412.321557 0.000538 0.002391 10000
0.030 0.462 3205.768900 38.953800 4845 4991 10000 732251205.563120 3913631911.614695 0.000599 0.002414 10000
0.030 0.466 3311.612000 40.718900 5084 5229 10000 847609890.728761 4664842646.614821 0.000617 0.002366 10000
0.030 0.470 3427.253500 42.472200 5320 5463 10000 860438594.613934 4449307121.755283 0.000712 0.002888 10000
0.033 0.438 2552.617800 28.573300 3455 3587 10000 554289549.169705 3790906637.992882 0.000422 0.001970 10000
0.033 0.442 2683.683300 30.288800 3676 3815 10000 483176865.575236 2893386755.572793 0.000453 0.002017 10000
0.033 0.446 2796.709200 31.847000 3880 4027 10000 540498094.371278 3314979744.837461 0.000525 0.002333 10000
