#mu sigma av_time samples_div samples_mult_eq nsamples
-0.360 0.060 4000.000000 10050 10050 10050
-0.360 0.064 4000.000000 10050 10050 10050
-0.360 0.068 4000.000000 10050 10050 10050
-0.360 0.072 4000.000000 10050 10050 10050
-0.360 0.076 4000.000000 10050 10050 10050
-0.360 0.080 4000.000000 10050 10050 10050
-0.360 0.084 4000.000000 10050 10050 10050
-0.360 0.088 4000.000000 10050 10050 10050
-0.360 0.092 4000.000000 10050 10050 10050
-0.360 0.096 4000.000000 10050 10050 10050
-0.360 0.100 4000.000000 10050 10050 10050
-0.360 0.104 4000.000000 10050 10050 10050
-0.360 0.108 4000.000000 10050 10050 10050
-0.360 0.112 4000.000000 10050 10050 10050
-0.360 0.116 4000.000000 10050 10050 10050
-0.360 0.120 4000.000000 10050 10050 10050
-0.360 0.124 4000.000000 10050 10050 10050
-0.360 0.128 4000.000000 10050 10050 10050
-0.360 0.132 4000.000000 10050 10050 10050
-0.360 0.136 4000.000000 10050 10050 10050
-0.360 0.140 4000.000000 10050 10050 10050
-0.360 0.144 4000.000000 10050 10050 10050
-0.360 0.148 4000.000000 10050 10050 10050
-0.350 0.000 4000.000000 10050 10050 10050
-0.350 0.004 4000.000000 10050 10050 10050
-0.350 0.008 4000.000000 10050 10050 10050
-0.350 0.012 4000.000000 10050 10050 10050
-0.350 0.016 4000.000000 10050 10050 10050
-0.350 0.020 4000.000000 10050 10050 10050
-0.350 0.024 4000.000000 10050 10050 10050
-0.350 0.028 4000.000000 10050 10050 10050
-0.350 0.032 4000.000000 10050 10050 10050
-0.350 0.036 4000.000000 10050 10050 10050
-0.350 0.040 4000.000000 10050 10050 10050
-0.350 0.041 4000.000000 10050 10050 10050
-0.350 0.044 4000.000000 10050 10050 10050
-0.350 0.048 4000.000000 10050 10050 10050
-0.350 0.051 4000.000000 10050 10050 10050
-0.350 0.052 4000.000000 10050 10050 10050
-0.350 0.056 4000.000000 10050 10050 10050
-0.350 0.060 4000.000000 10050 10050 10050
-0.350 0.061 4000.000000 10050 10050 10050
-0.350 0.064 4000.000000 10050 10050 10050
-0.350 0.068 4000.000000 10050 10050 10050
-0.350 0.071 4000.000000 10050 10050 10050
-0.350 0.072 4000.000000 10050 10050 10050
-0.350 0.076 4000.000000 10050 10050 10050
-0.350 0.080 4000.000000 10050 10050 10050
-0.350 0.081 4000.000000 10050 10050 10050
-0.350 0.084 4000.000000 10050 10050 10050
-0.350 0.088 4000.000000 10050 10050 10050
-0.350 0.091 4000.000000 10050 10050 10050
-0.350 0.092 4000.000000 10050 10050 10050
-0.350 0.096 4000.000000 10050 10050 10050
-0.350 0.100 4000.000000 10050 10050 10050
-0.350 0.101 4000.000000 10050 10050 10050
-0.350 0.104 4000.000000 10050 10050 10050
-0.350 0.108 4000.000000 10050 10050 10050
-0.350 0.111 4000.000000 10050 10050 10050
-0.350 0.112 4000.000000 10050 10050 10050
-0.350 0.116 4000.000000 10050 10050 10050
-0.350 0.120 4000.000000 10050 10050 10050
-0.350 0.121 4000.000000 10050 10050 10050
-0.350 0.124 4000.000000 10050 10050 10050
-0.350 0.128 4000.000000 10050 10050 10050
-0.350 0.131 4000.000000 10050 10050 10050
-0.350 0.132 4000.000000 10050 10050 10050
-0.350 0.136 4000.000000 10050 10050 10050
-0.350 0.140 4000.000000 10050 10050 10050
-0.350 0.141 4000.000000 10050 10050 10050
-0.350 0.144 4000.000000 10050 10050 10050
-0.350 0.148 4000.000000 10050 10050 10050
-0.350 0.151 4000.000000 10050 10050 10050
-0.350 0.161 4000.000000 10050 10050 10050
-0.350 0.171 4000.000000 10050 10050 10050
-0.350 0.181 4000.000000 10050 10050 10050
-0.350 0.191 4000.000000 10050 10050 10050
-0.350 0.201 4000.000000 10050 10050 10050
-0.350 0.211 4000.000000 10050 10050 10050
-0.350 0.221 4000.000000 10050 10050 10050
-0.350 0.231 4000.000000 10050 10050 10050
-0.350 0.241 4000.000000 10050 10050 10050
-0.350 0.251 4000.000000 10050 10050 10050
-0.350 0.261 4000.000000 10050 10050 10050
-0.350 0.271 4000.000000 10050 10050 10050
-0.350 0.281 4000.000000 10050 10050 10050
-0.350 0.291 4000.000000 10050 10050 10050
-0.350 0.301 4000.000000 10050 10050 10050
-0.350 0.311 4000.000000 10050 10050 10050
-0.350 0.321 4000.000000 10050 10050 10050
-0.350 0.331 4000.000000 10050 10050 10050
-0.350 0.341 4000.000000 10050 10050 10050
-0.350 0.351 4000.000000 10050 10050 10050
-0.350 0.361 4000.000000 10050 10050 10050
-0.350 0.371 4000.000000 10050 10050 10050
-0.350 0.381 4000.000000 10050 10050 10050
-0.350 0.391 4000.000000 10050 10050 10050
-0.350 0.401 4000.000000 10050 10050 10050
-0.350 0.411 4000.000000 10050 10050 10050
-0.350 0.421 4000.000000 10050 10050 10050
-0.350 0.431 4000.000000 10050 10050 10050
-0.350 0.441 4000.000000 10050 10050 10050
-0.340 0.000 4000.000000 10050 10050 10050
-0.340 0.004 4000.000000 10050 10050 10050
-0.340 0.008 4000.000000 10050 10050 10050
-0.340 0.012 4000.000000 10050 10050 10050
-0.340 0.016 4000.000000 10050 10050 10050
-0.340 0.020 4000.000000 10050 10050 10050
-0.340 0.024 4000.000000 10050 10050 10050
-0.340 0.028 4000.000000 10050 10050 10050
-0.340 0.032 4000.000000 10050 10050 10050
-0.340 0.036 4000.000000 10050 10050 10050
-0.340 0.040 4000.000000 10050 10050 10050
-0.340 0.044 4000.000000 10050 10050 10050
-0.340 0.048 4000.000000 10050 10050 10050
-0.340 0.052 4000.000000 10050 10050 10050
-0.340 0.056 4000.000000 10049 10050 10050
-0.340 0.060 4000.000000 10050 10050 10050
-0.340 0.064 4000.000000 10050 10050 10050
-0.340 0.068 4000.000000 10050 10050 10050
-0.340 0.072 4000.000000 10049 10049 10050
-0.340 0.076 4000.000000 10050 10050 10050
-0.340 0.080 4000.000000 10050 10050 10050
-0.340 0.084 4000.000000 10049 10049 10050
-0.340 0.088 4000.000000 10050 10050 10050
-0.340 0.092 4000.000000 10050 10050 10050
-0.340 0.096 4000.000000 10048 10048 10050
-0.340 0.100 4000.000000 10049 10050 10050
-0.340 0.104 4000.000000 10049 10049 10050
-0.340 0.108 4000.000000 10050 10050 10050
-0.340 0.112 4000.000000 10050 10050 10050
-0.340 0.116 4000.000000 10049 10050 10050
