# N c mu sigma av_time av_div error_av_div samples_div nsamples prob_div error_prob av_m error_av_m
1024 1903 3000 0 5985.642300 21.070700 0.341136 5976 10000 0.597600 0.004904 0.426008 0.000187
1024 1957 1500 0 6281.488400 26.475000 0.414658 6272 10000 0.627200 0.004835 0.417892 0.000218
1024 1957 3000 0 6132.619600 25.211000 0.400983 6123 10000 0.612300 0.004872 0.418492 0.000212
1024 2012 1500 0 6660.860000 31.980900 0.477132 6652 10000 0.665200 0.004719 0.409921 0.000245
1024 2012 3000 0 6510.052800 30.105200 0.456123 6501 10000 0.650100 0.004769 0.410800 0.000235
1024 2066 1500 0 6820.867000 37.128500 0.546017 6812 10000 0.681200 0.004660 0.402358 0.000275
1024 2066 3000 0 6664.101500 34.852200 0.521607 6655 10000 0.665500 0.004718 0.403420 0.000264
1024 2120 1500 0 7043.557600 44.363300 0.633635 7035 10000 0.703500 0.004567 0.394026 0.000311
1024 2120 3000 0 6891.786400 41.269500 0.600255 6883 10000 0.688300 0.004632 0.395463 0.000297
1024 2175 1500 0 7366.004500 52.865600 0.707463 7358 10000 0.735800 0.004409 0.385267 0.000343
1024 2175 3000 0 7208.319800 49.363800 0.674791 7200 10000 0.720000 0.004490 0.386881 0.000329
1024 2200 2500 150 7354.114400 54.957400 0.741465 7346 10000 0.734600 0.004415 0.381912 0.000357
1024 2229 1500 0 7514.979100 63.428900 0.823969 7507 10000 0.750700 0.004326 0.375738 0.000390
1024 2229 3000 0 7368.205200 58.843800 0.783616 7360 10000 0.736000 0.004408 0.377825 0.000373
1024 2283 1500 0 7828.187900 78.959500 0.969342 7821 10000 0.782100 0.004128 0.364202 0.000451
1024 2283 3000 0 7696.478700 73.207800 0.920243 7689 10000 0.768900 0.004215 0.366783 0.000430
1024 2338 1500 0 8055.803300 93.869200 1.093260 8049 10000 0.804900 0.003963 0.352950 0.000499
1024 2338 3000 0 7906.152400 86.510600 1.037892 7899 10000 0.789900 0.004074 0.356204 0.000477
1024 2392 1500 0 8250.223822 115.840384 1.248751 8243 9999 0.824382 0.003805 0.339274 0.000562
1024 2392 3000 0 8099.771500 106.599200 1.188781 8093 10000 0.809300 0.003929 0.343305 0.000538
1024 2446 1500 0 8479.854300 137.368500 1.373402 8474 10000 0.847400 0.003596 0.325965 0.000609
1024 2446 3000 0 8317.407400 125.584000 1.305459 8311 10000 0.831100 0.003747 0.331033 0.000583
1024 2501 1500 0 8751.082500 162.050200 1.514507 8746 10000 0.874600 0.003312 0.311264 0.000659
1024 2501 3000 0 8589.601100 148.494300 1.447492 8584 10000 0.858400 0.003486 0.317009 0.000633
1024 2555 1500 0 8947.472800 193.060500 1.645727 8943 10000 0.894300 0.003075 0.294784 0.000706
1024 2555 3000 0 8793.972900 177.586100 1.584834 8789 10000 0.878900 0.003262 0.301225 0.000684
1024 2610 1500 0 9130.817300 229.616200 1.771464 9127 10000 0.912700 0.002823 0.276141 0.000743
1024 2610 3000 0 8976.398300 211.175700 1.719452 8972 10000 0.897200 0.003037 0.283686 0.000727
1024 2664 1500 0 9330.063200 268.307400 1.878356 9327 10000 0.932700 0.002505 0.257217 0.000774
1024 2664 3000 0 9193.624000 247.317000 1.838956 9190 10000 0.919000 0.002728 0.265623 0.000763
1024 2718 1500 0 9449.585700 306.340300 1.934927 9447 10000 0.944700 0.002286 0.239096 0.000783
1024 2718 3000 0 9344.059900 282.118100 1.916875 9341 10000 0.934100 0.002481 0.248627 0.000782
1024 2773 1500 0 9604.929400 349.872200 1.970210 9603 10000 0.960300 0.001953 0.219211 0.000779
1024 2773 3000 0 9505.411600 325.183000 1.976783 9503 10000 0.950300 0.002173 0.228703 0.000787
1024 2827 1500 0 9685.591200 399.729300 1.954662 9684 10000 0.968400 0.001749 0.197753 0.000753
1024 2827 3000 0 9619.849700 373.502400 1.987095 9618 10000 0.961800 0.001917 0.207600 0.000772
1024 2881 1500 0 9780.182700 435.809200 1.932213 9779 10000 0.977900 0.001470 0.182028 0.000729
1024 2881 3000 0 9713.477800 410.127100 1.988460 9712 10000 0.971200 0.001672 0.191467 0.000756
