#N  c  mu  sigma  av_time_conv  std_time_conv  samples_div  samples_mult_eq  prob_div  error_prob  runtime(s)  std_runtime(s)  nsamples
1024 2390 1500 0 167.002314 268.264735 2841 0 0.282687 0.004492 0.262074 0.489535 10050
1024 2390 3000 0 189.061818 373.414855 4825 0 0.480100 0.004984 0.501147 0.971547 10050
1024 2390 1100 0 387.029566 472.906158 1293 0 0.128657 0.003340 0.232496 0.214465 10050
1024 2500 800 0 1821.110340 385.093889 0 0 0.000000 0.000000 0.387408 0.088392 10050
1024 2500 900 0 2128.285348 488.635791 29 0 0.002886 0.000535 0.586901 0.140575 10050
1024 2500 1100 0 414.373954 508.230241 1588 0 0.158010 0.003638 0.260708 0.242907 10050
1024 2500 3000 0 207.903471 382.674794 5273 0 0.524677 0.004981 0.566028 0.993053 10050
1024 2500 1500 0 185.581183 307.930596 3291 0 0.327463 0.004681 0.299190 0.552656 10050
1024 2610 800 0 1855.131858 395.296403 1 0 0.000100 0.000099 0.420127 0.095477 10050
1024 2610 900 0 2167.206276 487.063331 54 0 0.005373 0.000729 0.611123 0.139760 10050
1024 2610 1100 0 455.826131 550.169700 1951 0 0.194129 0.003945 0.284962 0.256361 10050
1024 2610 1500 0 210.882725 412.492159 3769 0 0.375025 0.004829 0.356691 0.796914 10050
1024 2610 3000 0 241.527630 491.278059 5786 0 0.575721 0.004930 0.672351 1.327367 10050
1024 2720 800 0 1889.204689 398.772002 1 0 0.000100 0.000099 0.423925 0.094892 10050
1024 2720 900 0 2221.896643 554.781984 71 0 0.007065 0.000835 0.642607 0.159020 10050
1024 2720 1100 0 487.541297 598.525940 2292 0 0.228060 0.004185 0.316769 0.297745 10050
1024 2720 1500 0 220.966721 377.376486 4331 0 0.430945 0.004940 0.385500 0.765348 10050
1024 2720 3000 0 272.135526 489.026399 6157 0 0.612637 0.004859 0.783417 1.376066 10050
1024 2830 900 0 2273.889267 581.932937 133 0 0.013234 0.001140 0.674333 0.174387 10050
1024 2830 1100 0 517.248052 630.304293 2645 0 0.263184 0.004393 0.339469 0.317302 10050
1024 2830 1500 0 245.089156 438.391873 4819 0 0.479502 0.004983 0.443071 0.882182 10050
